BLK,DWS,DBPM,DRtg,DRB,DFG_PCT,charges,Deflections,def_LB,Height,Weight,Position,vote_getter,Share,MP,w_L_pct,Player,Season,DFGA,DPOY,STL
78,2.4,-0.1,112,459,50.9,16,69,13,82,256,C,No,0,1730,0.5,clint capela,2022-23,954,0,46
25,2,-0.4,118,295,49.4,8,106,42,77,197,G,No,0,2629,0.573,austin reaves,2023-24,1192,0,66
31,1.7,-0.2,118,209,50.2,11,120,36,78,218,F,No,0,2108,0.573,taurean prince,2023-24,811,0,54
31,1.4,1.1,118,303,52.3,10,176,15,83,240,F,No,0,1759,0.305,kelly olynyk,2023-24,900,0,70
96,2.7,-0.1,109,598,49.2,14,101,18,82,256,C,No,0,2042,0.524,clint capela,2021-22,1046,0,52
32,3,0.9,113,234,49.5,1,241,32,76,203,G,No,0,2360,0.61,donte divincenzo,2023-24,851,0,105
21,1.5,-1.4,118,282,49.3,2,95,16,77,220,F,No,0,2038,0.268,keldon johnson,2023-24,735,0,48
58,2.5,0.3,116,335,48.2,0,137,31,77,220,G,No,0,2470,0.622,james harden,2023-24,969,0,79
43,2.4,0.6,110,509,45.5,1,69,17,82,270,C,No,0,1852,0.268,wendell carter jr,2021-22,910,0,37
126,3.3,0,106,606,47,1,90,23,82,240,C,Yes,0.02,1898,0.569,clint capela,2020-21,961,0,44
14,0.6,-1.1,120,114,48.8,1,82,17,74,195,G,No,0,1351,0.171,marcus sasser,2023-24,482,0,41
30,3.2,0.1,114,273,49.5,3,269,38,75,185,G,No,0,2659,0.561,deaaron fox,2023-24,981,0,148
58,1.9,-0.4,117,326,50.1,0,159,17,79,230,F,No,0,2221,0.61,pj washington,2023-24,950,0,72
58,1.9,-0.4,117,326,50.1,0,159,17,79,230,F,No,0,2221,0.61,pj washington,2023-24,950,0,72
7,1.2,-0.9,119,242,48.1,0,88,22,74,190,G,No,0,1985,0.305,immanuel quickley,2023-24,776,0,48
8,1.4,-2.1,119,232,49,21,67,21,77,205,G,No,0,2120,0.61,tim hardaway jr,2023-24,781,0,40
99,3,-0.3,108,550,45.8,4,71,44,82,240,C,No,0,2249,0.646,clint capela,2018-19,1172,0,46
55,1.5,-0.1,116,252,50.3,2,74,14,83,250,F,No,0,1526,0.268,zach collins,2023-24,967,0,34
15,2.4,-0.4,117,235,49.8,35,112,30,74,190,G,No,0,2726,0.61,jalen brunson,2023-24,888,0,69
38,1.8,-0.8,118,208,48.8,2,166,25,75,193,G,No,0,2484,0.573,dangelo russell,2023-24,1007,0,68
16,0.4,-2,123,195,49.3,2,67,14,78,224,F,No,0,2067,0.183,corey kispert,2023-24,813,0,40
16,1.6,-1.3,120,314,50.6,10,88,43,77,195,G,No,0,2881,0.476,coby white,2023-24,1196,0,55
8,1.5,-1.2,119,182,48.8,0,101,14,80,225,F,No,0,2381,0.561,harrison barnes,2023-24,954,0,57
7,1.3,0.3,113,148,53.2,13,78,17,78,210,G,No,0,1029,0.695,kenrich williams,2023-24,380,0,41
24,1.5,-0.7,119,426,50,1,122,36,80,245,F,No,0,2657,0.573,pascal siakam,2023-24,1108,0,64
23,0.8,-1.9,121,180,50.2,1,141,31,76,194,G,No,0,2346,0.183,jordan poole,2023-24,835,0,86
139,4.1,1,101,561,46.6,8,75,38,82,240,C,Yes,0.004,2034,0.793,clint capela,2017-18,1190,0,58
78,2.1,-0.1,106,348,49,6,59,0,82,240,C,No,0,1551,0.671,clint capela,2016-17,811,0,32
16,0.3,-1.9,123,134,49.6,1,130,25,75,190,G,No,0,2075,0.378,collin sexton,2023-24,702,0,62
42,1.6,-0.6,118,208,51.2,0,137,28,76,220,G,No,0,2160,0.573,buddy hield,2023-24,948,0,66
92,2,-0.1,104,300,44.2,7,131,0,82,240,F,No,0,1471,0.5,clint capela,2015-16,776,0,62
130,4.7,2.4,100,515,43.8,4,148,0,85,265,C,Yes,0.011,2687,0.671,marc gasol,2014-15,980,0,73
61,1.3,-1.4,118,418,52.6,7,63,19,81,226,F,No,0,1901,0.378,john collins,2023-24,832,0,41
7,2.1,-0.3,116,193,48.8,0,103,17,78,225,G,No,0,2227,0.5,dillon brooks,2023-24,1012,0,65
82,2.3,0,113,430,45.9,0,40,11,84,240,C,No,0,1794,0.622,ivica zubac,2023-24,1142,0,20
118,4.8,1.6,108,524,47.1,1,145,24,83,215,C,Yes,0.202,2715,0.622,evan mobley,2022-23,1417,0,63
148,4.4,0.6,101,699,45.5,0,48,0,84,250,F,No,0,2681,0.61,pau gasol,2014-15,1127,0,23
87,4,2.3,105,547,44,27,131,44,85,255,C,No,0,2436,0.707,marc gasol,2018-19,1142,0,87
144,3.9,2.3,101,638,44.5,4,120,0,84,250,C,No,0,2291,0.512,pau gasol,2015-16,1025,0,43
96,3.5,1.4,106,404,46.1,4,124,0,85,255,C,No,0,2531,0.524,marc gasol,2016-17,848,0,67
15,1.2,-0.7,119,167,50.2,1,71,12,77,215,G,No,0,1873,0.622,terance mann,2023-24,632,0,45
20,0.7,-0.9,121,159,52.9,0,127,23,73,196,G,No,0,1933,0.183,tyus jones,2023-24,664,0,73
99,2.9,0.2,112,520,47,0,52,22,84,240,C,No,0,2170,0.537,ivica zubac,2022-23,1347,0,30
20,1,-1,120,231,51.3,0,115,12,76,202,G,No,0,1866,0.305,bruce brown,2023-24,827,0,60
