#,Player,Height,Wingspan,Length
352,"Tre Jones
SAS | PG","6'1""","6'4""",3
353,"Charles Bediako
| C","7'0""","7'3""",3
354,"Isaiah Livers
WAS | SF","6'6""","6'9.25""",3
355,"Jock Landale
HOU | C","6'11""","7'2""",3
356,"Julian Champagnie
SAS | SF","6'7""","6'10""",3
357,"Vasilije Micic
CHA | PG","6'4""","6'7""",3
358,"Nick Smith Jr.
CHA | SG","6'5""","6'8""",3
359,"Jake LaRavia
MEM | SF","6'6.75""","6'9.5""",2.75
360,"Malik Monk
SAC | SG","6'2.25""","6'5""",2.75
361,"Mike Muscala
OKC | C","6'10.25""","7'1""",2.75
362,"Patty Mills
MIA | PG","5'11.25""","6'2""",2.75
363,"Monte Morris
MIN | PG","6'1.25""","6'4""",2.75
364,"Zach Collins
SAS | C","6'10.25""","7'1""",2.75
365,"Andrew Nembhard
IND | PG","6'3""","6'5.75""",2.75
366,"Isaiah Hartenstein
NYK | C","6'11.5""","7'2.25""",2.75
367,"Landry Shamet
WAS | SG","6'4""","6'6.75""",2.75
368,"Nikola Jovic
MIA | PF","6'9.5""","7'0.25""",2.75
369,"Cam Whitmore
HOU | SF","6'5.75""","6'8.5""",2.75
370,"Gradey Dick
TOR | SG","6'6.25""","6'8.75""",2.5
371,"Jordan Hawkins
NOP | SG","6'4.25""","6'6.75""",2.5
372,"Jonathan Isaac
ORL | PF","6'10.5""","7'1""",2.5
373,"Ben Sheppard
IND | SG","6'5.25""","6'7.75""",2.5
374,"Alperen Sengun
HOU | C","6'10""","7'0.5""",2.5
375,"Donte DiVincenzo
NYK | SG","6'3.5""","6'6""",2.5
376,"Jacob Gilyard
BKN | PG","5'8""","5'10.5""",2.5
377,"Joe Ingles
ORL | SF","6'7.75""","6'10.25""",2.5
378,"Cole Anthony
ORL | PG","6'2""","6'4.5""",2.5
379,"Jusuf Nurkic
PHX | C","6'11.5""","7'2""",2.5
380,"Franz Wagner
ORL | SF","6'9""","6'11.5""",2.5
381,"Trae Young
ATL | PG","6'0.5""","6'3""",2.5
382,"Tim Hardaway Jr.
DAL | SG","6'4.5""","6'7""",2.5
383,"Jalen Wilson
BKN | SF","6'5.5""","6'8""",2.5
384,"Sam Hauser
BOS | PF","6'6.75""","6'9.25""",2.5
385,"Jakob Poeltl
TOR | C","7'0.25""","7'2.75""",2.5
386,"Ousmane Dieng
OKC | SF","6'9.5""","7'0""",2.5
387,"Max Strus
CLE | SG","6'5""","6'7.5""",2.5
388,"Omer Yurtseven
UTA | C","6'10.5""","7'1""",2.5
389,"Jabari Smith Jr.
HOU | PF","6'10.5""","7'1""",2.5
390,"Yuta Watanabe
MEM | SF","6'7.75""","6'10""",2.25
391,"Kyrie Irving
DAL | PG","6'1.75""","6'4""",2.25
392,"Kyle Lowry
PHI | PG","5'11.75""","6'2""",2.25
393,"Michael Porter Jr.
DEN | PF","6'9.75""","7'0""",2.25
